Name,Transliteration,Meaning,Language
Adriaan,,Dark one,Afrikaans
Albertus,,Noble and bright,Afrikaans
Andries,,Manly,Afrikaans
Annemarie,,Grace and bitter,Afrikaans
Anton,,Priceless,Afrikaans
Barend,,Bear-brave,Afrikaans
Bettie,,God is my oath,Afrikaans
Carl,,Free man,Afrikaans
Christiaan,,Follower of Christ,Afrikaans
Daniël,,God is my judge,Afrikaans
Diederik,,Ruler of the people,Afrikaans
Elmarie,,Noble and famous,Afrikaans
Engela,,Messenger,Afrikaans
Esmé,,Loved,Afrikaans
Francois,,Free man,Afrikaans
Gert,,Strong with the spear,Afrikaans
Gideon,,Hewer,Afrikaans
Hendrik,,Ruler of the home,Afrikaans
Hugo,,"Mind, spirit",Afrikaans
Jacobus,,Supplanter,Afrikaans
Jan,,God is gracious,Afrikaans
Joan,,God is gracious,Afrikaans
Johannes,,God is gracious,Afrikaans
Johan,,God is gracious,Afrikaans
Joseph,,God will increase,Afrikaans
Kobus,,Supplanter,Afrikaans
Lodewyk,,Famous warrior,Afrikaans
Louis,,Famous warrior,Afrikaans
Maretha,,Pearl,Afrikaans
Marthinus,,Dedicated to Mars,Afrikaans
Mia,,Mine,Afrikaans
Nicolaas,,Victory of the people,Afrikaans
Petrus,,Rock,Afrikaans
Philip,,Lover of horses,Afrikaans
Reinhardt,,Brave counsel,Afrikaans
René,,Reborn,Afrikaans
Riaan,,Little king,Afrikaans
Stefanus,,"Crown, garland",Afrikaans
Susanna,,Lily,Afrikaans
Thys,,Gift of God,Afrikaans
Tinus,,Of Mars,Afrikaans
Tobias,,God is good,Afrikaans
Tommie,,Twin,Afrikaans
Trudie,,Spear of strength,Afrikaans
Ursula,,Little bear,Afrikaans
Viljoen,,Son of Will,Afrikaans
Willem,,Resolute protector,Afrikaans
Wynand,,Friend of peace,Afrikaans
Zander,,Defender of man,Afrikaans
Amanda,,Worthy of love,Afrikaans
Anke,,Grace,Afrikaans
Arno,,Eagle power,Afrikaans
Bettina,,God is my oath,Afrikaans
Carla,,Free woman,Afrikaans
Charlene,,Free woman,Afrikaans
Danél,,God is my judge,Afrikaans
Dirk,,Ruler of the people,Afrikaans
Eben,,Stone of help,Afrikaans
Emile,,To strive or excel,Afrikaans
Fanie,,Free man,Afrikaans
Gawie,,God is my strength,Afrikaans
Gerhard,,Strong with the spear,Afrikaans
Heinrich,,Ruler of the home,Afrikaans
Ina,,Pure,Afrikaans
Jaco,,Supplanter,Afrikaans
Jacques,,Supplanter,Afrikaans
Jakes,,Supplanter,Afrikaans
Katinka,,Pure,Afrikaans
Kobus,,Supplanter,Afrikaans
Lina,,Sunlight,Afrikaans
Lisette,,God is my oath,Afrikaans
Lukas,,Light-giving,Afrikaans
Magdalena,,Of Magdala,Afrikaans
Manie,,God is with us,Afrikaans
Marius,,Male,Afrikaans
Martie,,Warrior,Afrikaans
Melanie,,"Black, dark",Afrikaans
Nelis,,Victory of the people,Afrikaans
Nico,,Victory of the people,Afrikaans
Ockert,,"Wealth, fortune",Afrikaans
Odette,,Wealth,Afrikaans
Petra,,Rock,Afrikaans
Pieter,,Rock,Afrikaans
Quintin,,Fifth,Afrikaans
Reinhard,,Brave counsel,Afrikaans
Rosita,,Little rose,Afrikaans
Theunis,,God is gracious,Afrikaans
Tristan,,Tumult,Afrikaans
Valerie,,"Strong, healthy",Afrikaans
Willemien,,Resolute protector,Afrikaans
Wynette,,Friend of peace,Afrikaans
Zelda,,Gray fighting maid,Afrikaans
Agim,,Dawn,Albanian
Aferdita,,Near the day,Albanian
Arben,,"Field, fertile",Albanian
Arber,,Forest man,Albanian
Ardita,,Golden day,Albanian
Besa,,Promise,Albanian
Blerina,,Greenery,Albanian
Dafina,,Laurel tree,Albanian
Dardan,,Of Dardania,Albanian
Drita,,Light,Albanian
Edi,,Wealthy guardian,Albanian
Elira,,Free,Albanian
